wid,model,nll,β_depthlim,β_satisfice,θ_prune,β_best_next,β_prune,θ_depthlim,ε,θ_prob_better,β_depth,β_prob_best,β_prob_better,β_expand,β_best,θ_term
58,Depth,446.30335379830433,100000.0,0.0,-1.0e10,0.0,100000.0,1.0e10,0.40236155119804584,0.0,0.9089033897087694,0.0,0.0,0.0,0.0,-35.06175248412417
59,Depth,511.39798976105607,100000.0,0.0,-1.0e10,0.0,100000.0,1.0e10,0.37916196316472006,0.0,1.4265944499410967,0.0,0.0,0.0,0.0,-67.90651779782006
61,Depth,48.44913874817222,100000.0,0.0,-1.0e10,0.0,100000.0,1.0e10,0.4838709677427501,0.0,1.070490662611695e-35,0.0,0.0,0.0,0.0,-349.0781272647855
610,Depth,134.57673950410447,100000.0,0.0,-1.0e10,0.0,100000.0,1.0e10,0.8279602916711617,0.0,10.508781923865987,0.0,0.0,0.0,0.0,1.083042385725439
611,Depth,175.14513877250366,100000.0,0.0,-1.0e10,0.0,100000.0,1.0e10,0.9633027456020856,0.0,4.513547364969046e-9,0.0,0.0,0.0,0.0,15.721454363856566
612,Depth,111.64696263971292,100000.0,0.0,-1.0e10,0.0,100000.0,1.0e10,0.8159722222225786,0.0,0.09666167265978437,0.0,0.0,0.0,0.0,57.360772499392446
613,Depth,105.52190555843828,100000.0,0.0,-1.0e10,0.0,100000.0,1.0e10,0.6712433302482087,0.0,126.84661084816825,0.0,0.0,0.0,0.0,0.8176416607660023
62,Depth,185.05489091755803,100000.0,0.0,-1.0e10,0.0,100000.0,1.0e10,0.31998368136981165,0.0,17.54738160531679,0.0,0.0,0.0,0.0,-1.7625434111558087
63,Depth,177.84336902512007,100000.0,0.0,-1.0e10,0.0,100000.0,1.0e10,0.46424278752171294,0.0,407.85518440369015,0.0,0.0,0.0,0.0,-1.4419038313203607
64,Depth,183.0225070738511,100000.0,0.0,-1.0e10,0.0,100000.0,1.0e10,0.5666653464331585,0.0,176.443473101617,0.0,0.0,0.0,0.0,-1.3631916011956675
